crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname,kharif_rainfall_mm,salinity_alkalinity_percentage,irrigatedarea_capped,irrigatedarea_new,unirrigatedarea,ln_production,ln_irrigatedarea_new,ln_unirrigatedarea,ln_nitrogen,ln_phosphate,ln_potash
Finger Millet,6.3000002,1.4400001,0.0,2,2017,14,Chhattisgarh,21279,12584,4271,Bastar,781.24999,0.0,0.0,1.0,6.3000002,0.36464318303235127,0.0,1.8405496651435183,9.965475949870196,9.440181444738114,8.359603270841466
Finger Millet,0.19,0.039999999,0.0,3,2017,14,Chhattisgarh,92008,47721,15054,Raipur,621.32999,0.0,0.0,1.0,0.19,-3.218875849868201,0.0,-1.6607312068216509,11.429630808772417,10.77312683156647,9.619399015594476
Finger Millet,0.23999999,0.039999999,0.0,5,2017,14,Chhattisgarh,31282,13620,3707,Raigarh,563.34,0.0,0.0,1.0,0.23999999,-3.218875849868201,0.0,-1.4271163973068133,10.350798131234187,9.519294579703503,8.217978203150732
Finger Millet,0.52999997,0.12,0.0,6,2017,14,Chhattisgarh,21139,11878,4438,Surguja,516.769989,0.0,0.0,1.0,0.52999997,-2.120263536200091,0.0,-0.6348783290397447,9.958874954615686,9.382443228575806,8.39795910349254
Finger Millet,5.3099999,8.0900002,4.2600002,44,2017,1,Andhra Pradesh,55301,19214,13016,Srikakulam,674.830004,0.0,4.2600002,4.2600002,1.0499996999999999,2.090628755792279,1.449269207229635,0.04878987845510535,10.920546270529568,9.863394458969683,9.473934648898874
Finger Millet,18.25,19.09,0.63999999,45,2017,1,Andhra Pradesh,48118,9836,7491,Visakhapatanam,633.17999,0.058204873,0.63999999,0.63999999,17.61000001,2.949164637737656,-0.4462871182534197,2.868466923075974,10.781411606465092,9.193804403336083,8.921457578947884
Finger Millet,0.28999999,0.28999999,0.0,46,2017,1,Andhra Pradesh,84246,30862,28384,East Godavari,768.5845300000001,0.0,0.0,1.0,0.28999999,-1.2378743904843765,0.0,-1.2378743904843765,11.341496369342698,10.33728093263115,10.253580885109306
Finger Millet,0.72000003,0.91000003,0.54400003,49,2017,1,Andhra Pradesh,173584,89900,25004,Guntur,518.73001,16.86394141,0.54400003,0.54400003,0.17600000000000005,-0.09431064650420895,-0.6088059769791372,-1.737271283943985,12.064416911062231,11.406453220459712,10.126791091051704
Finger Millet,0.38999999,0.60000002,0.301,50,2017,1,Andhra Pradesh,98386,38207,20817,Spsr Nellore,446.650001,10.1296106,0.301,0.301,0.08899999000000003,-0.510825590432658,-1.2006450142332614,-2.419119021609554,11.49665379649533,10.550774023880454,9.94352523956766
Finger Millet,0.12,0.2,0.085000001,51,2017,1,Andhra Pradesh,140564,80498,24777,Kurnool,359.79,12.74332121,0.085000001,0.085000001,0.03499999899999999,-1.6094379124341003,-2.465104010727115,-3.3524072460641525,11.853418180054248,11.295987618377522,10.117671082478827
Finger Millet,2.46,5.9499998,1.92,52,2017,1,Andhra Pradesh,38288,26127,12070,Anantapur,359.970007,12.34188169,1.92,1.92,0.54,1.7833911859440923,0.6523251860396901,-0.616186139423817,10.552891810148154,10.17072454136085,9.398478314091577
Finger Millet,0.18000001,0.34999999,0.17,53,2017,1,Andhra Pradesh,47161,24126,12776,Y.S.R.,469.070002,4.378520281,0.17,0.17,0.010000009999999976,-1.0498221530701066,-1.7719568419318752,-4.6051691859885935,10.761322558837014,10.09104537612533,9.455323689894849
Finger Millet,6.73,8.5200005,1.62,54,2017,1,Andhra Pradesh,43320,15960,8962,Chittoor,382.300001,2.652205203,1.62,1.62,5.11,2.1424163995266685,0.4824261492442928,1.631199404215613,10.676369701114927,9.6778408710038,9.100748695346088
Finger Millet,0.079999998,0.090000004,0.0,55,2017,20,Telangana,29965,15280,10357,Hyderabad,708.28,0.0,0.0,1.0,0.079999998,-2.4079455642074286,0.0,-2.525728669308256,10.307785312892285,9.634300062720511,9.24541789858888
Finger Millet,1.38,1.5700001,0.244,58,2017,20,Telangana,74046,35010,8556,Mahabubnagar,533.05583,17.58192712,0.244,0.244,1.136,0.4510756830544821,-1.410587053688935,0.1275133202989595,11.212441800681239,10.463389013948712,9.054388070202297
Finger Millet,125.46,302.45999,1.75,64,2017,5,Karnataka,37554,15679,5330,Bangalore,593.379999,0.073116581,1.75,1.75,123.71,5.71194900426037,0.5596157879354227,4.81794011687474,10.533535176152757,9.66007751636045,8.58110651715989
Finger Millet,115.08,293.09,3.5,65,2017,5,Karnataka,29931,18362,7165,Kolar,591.249989,0.086816909,3.5,3.5,111.58,5.680479729086366,1.252762968495368,4.714741822417382,10.306650011581617,9.818038590703646,8.876963340262272
Finger Millet,144.55,226.84,3.1800001,66,2017,5,Karnataka,24548,13290,6346,Tumakuru,459.830011,1.0458634,3.1800001,3.1800001,141.3699999,5.424244923145827,1.1568812282386258,4.9513805661715775,10.108385663508988,9.494767151707292,8.75557997214314
Finger Millet,76.139999,136.22,6.1500001,67,2017,5,Karnataka,46920,23006,18188,Mysuru,500.479995,0.949660522,6.1500001,6.1500001,69.9899989,4.914271225813172,1.816452098078589,4.248352358984917,10.756199302767412,10.043510330455955,9.8085173149449
Finger Millet,83.790001,140.67,29.809999,68,2017,5,Karnataka,49044,13855,9299,Mandya,467.17999,0.102585889,29.809999,29.809999,53.980002,4.946416721769604,3.3948438741441898,3.9886136446406173,10.800473133352277,9.536401457297078,9.137662146478197
Finger Millet,94.629997,242.27,4.9699998,69,2017,5,Karnataka,32894,19091,15439,Hassan,583.919997,0.025147948,4.9699998,4.9699998,89.6599972,5.4900528067025665,1.6034197998670878,4.496024707498205,10.401045549301214,9.856972298794659,9.644652054641927
Finger Millet,73.389999,137.28999,11.94,72,2017,5,Karnataka,63447,36388,13890,Chitradurga,358.479998,5.517792473,11.94,11.94,61.449999000000005,4.922095404070994,2.479894107964456,4.118223819738651,11.05796019070086,10.501994328941953,9.53892443574839
Finger Millet,11.0,15.23,1.0,73,2017,5,Karnataka,70669,37463,13491,Ballari,470.020001,6.439305471,1.0,1.0,10.0,2.7232671669070703,0.0,2.302585092994046,11.165762283308853,10.531109058215867,9.509778075438817
Finger Millet,0.19,0.23999999,0.02,74,2017,5,Karnataka,62588,31066,12903,Dharwad,398.939997,63.78398811,0.02,0.02,0.17,-1.4271163973068133,-3.912023005428146,-1.7719568419318752,11.044328845421948,10.343869252547853,9.465215121451847
Finger Millet,0.43000001,0.60000002,0.0,75,2017,5,Karnataka,92878,39229,33264,Belagavi,387.049988,16.50813143,0.0,1.0,0.43000001,-0.510825590432658,0.0,-0.8439700470387153,11.439042082978863,10.57717154818281,10.412231010097795
Finger Millet,2.4400001,7.6500001,0.0,84,2017,11,Tamil Nadu,85137,31903,28361,Cuddalore,248.689998,21.8151964,0.0,1.0,2.4400001,2.03470566091034,0.0,0.8919980802887161,11.35201700267959,10.370455328238235,10.2527702409553
Finger Millet,11.62,42.549999,0.0,85,2017,11,Tamil Nadu,68430,23100,18324,Vellore,486.510002,1.069750348,0.0,1.0,11.62,3.7506798315176204,0.0,2.4527277514237653,11.133566603946543,10.047587896509885,9.815966955006633
Finger Millet,65.839996,250.35001,0.0049999999,86,2017,11,Tamil Nadu,46708,30730,23106,Salem,347.430001,1.03138624,0.0049999999,0.0049999999,65.8349960001,5.522859978720032,-5.298317386548037,4.187151551051869,10.751670735195605,10.33299465512453,10.047847603042964
Finger Millet,0.02,0.07,0.0,87,2017,11,Tamil Nadu,26117,14250,21215,Coimbatore,397.839852,7.470587913,0.0,1.0,0.02,-2.659260036932778,0.0,-3.912023005428146,10.17034172227647,9.564512185696797,9.962463757636426
Finger Millet,3.77,11.07,0.0,88,2017,11,Tamil Nadu,68490,25236,26076,Tiruchirappalli,281.2400004,12.34029691,0.0,1.0,3.77,2.4042387467205457,0.0,1.3270750014599193,11.134443028191951,10.1360268254907,10.16877063004443
