crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname,kharif_rainfall_mm,salinity_alkalinity_percentage,irrigatedarea_capped,unirrigatedarea,irrigatedarea_squared,unirrigatedarea_squared,irrigatedarea_unirrigatedarea,nitrogenconsumptiontonnes_squared,phosphateconsumptiontonnes_squared,potashconsumptiontonnes_squared
Finger Millet,6.3000002,1.4400001,0.0,2,2017,14,Chhattisgarh,21279,12584,4271,Bastar,781.24999,0.0,0.0,6.3000002,0.0,39.69000252000004,0.0,452795841,158357056,18241441
Finger Millet,0.19,0.039999999,0.0,3,2017,14,Chhattisgarh,92008,47721,15054,Raipur,621.32999,0.0,0.0,0.19,0.0,0.0361,0.0,8465472064,2277293841,226622916
Finger Millet,0.23999999,0.039999999,0.0,5,2017,14,Chhattisgarh,31282,13620,3707,Raigarh,563.34,0.0,0.0,0.23999999,0.0,0.0575999952000001,0.0,978563524,185504400,13741849
Finger Millet,0.52999997,0.12,0.0,6,2017,14,Chhattisgarh,21139,11878,4438,Surguja,516.769989,0.0,0.0,0.52999997,0.0,0.2808999682000009,0.0,446857321,141086884,19695844
Finger Millet,5.3099999,8.0900002,4.2600002,44,2017,1,Andhra Pradesh,55301,19214,13016,Srikakulam,674.830004,0.0,4.2600002,1.0499996999999999,18.147601704000042,1.1024993700000898,4.47299893199994,3058200601,369177796,169416256
Finger Millet,18.25,19.09,0.63999999,45,2017,1,Andhra Pradesh,48118,9836,7491,Visakhapatanam,633.17999,0.058204873,0.63999999,17.61000001,0.40959998720000007,310.1121003522,11.270399830299999,2315341924,96746896,56115081
Finger Millet,0.28999999,0.28999999,0.0,46,2017,1,Andhra Pradesh,84246,30862,28384,East Godavari,768.5845300000001,0.0,0.0,0.28999999,0.0,0.0840999942000001,0.0,7097388516,952463044,805651456
Finger Millet,0.72000003,0.91000003,0.54400003,49,2017,1,Andhra Pradesh,173584,89900,25004,Guntur,518.73001,16.86394141,0.54400003,0.17600000000000005,0.29593603264000085,0.030976000000000017,0.09574400528000002,30131405056,8082010000,625200016
Finger Millet,0.38999999,0.60000002,0.301,50,2017,1,Andhra Pradesh,98386,38207,20817,Spsr Nellore,446.650001,10.1296106,0.301,0.08899999000000003,0.09060099999999999,0.007920998220000105,0.026788996990000008,9679804996,1459774849,433347489
Finger Millet,0.12,0.2,0.085000001,51,2017,1,Andhra Pradesh,140564,80498,24777,Kurnool,359.79,12.74332121,0.085000001,0.03499999899999999,0.007225000170000002,0.0012249999300000002,0.0029749999499999982,19758238096,6479928004,613899729
Finger Millet,2.46,5.9499998,1.92,52,2017,1,Andhra Pradesh,38288,26127,12070,Anantapur,359.970007,12.34188169,1.92,0.54,3.6864,0.2916,1.0368,1465970944,682620129,145684900
Finger Millet,0.18000001,0.34999999,0.17,53,2017,1,Andhra Pradesh,47161,24126,12776,Y.S.R.,469.070002,4.378520281,0.17,0.010000009999999976,0.028900000000000006,0.00010000020000009952,0.001700001699999996,2224159921,582063876,163226176
Finger Millet,6.73,8.5200005,1.62,54,2017,1,Andhra Pradesh,43320,15960,8962,Chittoor,382.300001,2.652205203,1.62,5.11,2.6244000000000005,26.1121,8.278200000000002,1876622400,254721600,80317444
Finger Millet,0.079999998,0.090000004,0.0,55,2017,20,Telangana,29965,15280,10357,Hyderabad,708.28,0.0,0.0,0.079999998,0.0,0.006399999680000004,0.0,897901225,233478400,107267449
Finger Millet,1.38,1.5700001,0.244,58,2017,20,Telangana,74046,35010,8556,Mahabubnagar,533.05583,17.58192712,0.244,1.136,0.059536,1.2904959999999999,0.277184,5482810116,1225700100,73205136
Finger Millet,125.46,302.45999,1.75,64,2017,5,Karnataka,37554,15679,5330,Bangalore,593.379999,0.073116581,1.75,123.71,3.0625,15304.164099999998,216.49249999999998,1410302916,245831041,28408900
Finger Millet,115.08,293.09,3.5,65,2017,5,Karnataka,29931,18362,7165,Kolar,591.249989,0.086816909,3.5,111.58,12.25,12450.0964,390.53,895864761,337163044,51337225
Finger Millet,144.55,226.84,3.1800001,66,2017,5,Karnataka,24548,13290,6346,Tumakuru,459.830011,1.0458634,3.1800001,141.3699999,10.11240063600001,19985.476871726,449.556613819,602604304,176624100,40271716
Finger Millet,76.139999,136.22,6.1500001,67,2017,5,Karnataka,46920,23006,18188,Mysuru,500.479995,0.949660522,6.1500001,69.9899989,37.82250123000001,4898.599946022002,430.4385002339999,2201486400,529276036,330803344
Finger Millet,83.790001,140.67,29.809999,68,2017,5,Karnataka,49044,13855,9299,Mandya,467.17999,0.102585889,29.809999,53.980002,888.6360403800011,2913.840615920004,1609.143805639998,2405313936,191961025,86471401
Finger Millet,94.629997,242.27,4.9699998,69,2017,5,Karnataka,32894,19091,15439,Hassan,583.919997,0.025147948,4.9699998,89.6599972,24.700898012000042,8038.915097904009,445.6101681520006,1082015236,364466281,238362721
Finger Millet,73.389999,137.28999,11.94,72,2017,5,Karnataka,63447,36388,13890,Chitradurga,358.479998,5.517792473,11.94,61.449999000000005,142.56359999999998,3776.102377100002,733.71298806,4025521809,1324086544,192932100
Finger Millet,11.0,15.23,1.0,73,2017,5,Karnataka,70669,37463,13491,Ballari,470.020001,6.439305471,1.0,10.0,1.0,100.0,10.0,4994107561,1403476369,182007081
Finger Millet,0.19,0.23999999,0.02,74,2017,5,Karnataka,62588,31066,12903,Dharwad,398.939997,63.78398811,0.02,0.17,0.0004,0.028900000000000006,0.0034000000000000002,3917257744,965096356,166487409
Finger Millet,0.43000001,0.60000002,0.0,75,2017,5,Karnataka,92878,39229,33264,Belagavi,387.049988,16.50813143,0.0,0.43000001,0.0,0.18490000860000008,0.0,8626322884,1538914441,1106493696
Finger Millet,2.4400001,7.6500001,0.0,84,2017,11,Tamil Nadu,85137,31903,28361,Cuddalore,248.689998,21.8151964,0.0,2.4400001,0.0,5.953600488000009,0.0,7248308769,1017801409,804346321
Finger Millet,11.62,42.549999,0.0,85,2017,11,Tamil Nadu,68430,23100,18324,Vellore,486.510002,1.069750348,0.0,11.62,0.0,135.02439999999999,0.0,4682664900,533610000,335768976
Finger Millet,65.839996,250.35001,0.0049999999,86,2017,11,Tamil Nadu,46708,30730,23106,Salem,347.430001,1.03138624,0.0049999999,65.8349960001,2.4999999000000005e-05,4334.246698333183,0.3291749734170004,2181637264,944332900,533887236
Finger Millet,0.02,0.07,0.0,87,2017,11,Tamil Nadu,26117,14250,21215,Coimbatore,397.839852,7.470587913,0.0,0.02,0.0,0.0004,0.0,682097689,203062500,450076225
Finger Millet,3.77,11.07,0.0,88,2017,11,Tamil Nadu,68490,25236,26076,Tiruchirappalli,281.2400004,12.34029691,0.0,3.77,0.0,14.2129,0.0,4690880100,636855696,679957776
