crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname,district,kharif_rainfall_mm
Finger Millet,,,,1,2017,14,Chhattisgarh,91447,53486,16993,Durg,Durg,805.98
Finger Millet,6.3000002,1.4400001,0.0,2,2017,14,Chhattisgarh,21279,12584,4271,Bastar,Bastar,781.24999
Finger Millet,0.19,0.039999999,0.0,3,2017,14,Chhattisgarh,92008,47721,15054,Raipur,Raipur,621.32999
Finger Millet,,,,4,2017,14,Chhattisgarh,72926,29713,6915,Bilaspur,Bilaspur,606.37
Finger Millet,0.23999999,0.039999999,0.0,5,2017,14,Chhattisgarh,31282,13620,3707,Raigarh,Raigarh,563.34
Finger Millet,0.52999997,0.12,0.0,6,2017,14,Chhattisgarh,21139,11878,4438,Surguja,Surguja,516.769989
Finger Millet,,,,7,2017,6,Madhya Pradesh,62230,30800,2116,Jabalpur,Jabalpur,775.4
Finger Millet,,,,8,2017,6,Madhya Pradesh,18299,10688,575,Balaghat,Balaghat,899.95999
Finger Millet,,,,9,2017,6,Madhya Pradesh,57518,20108,6518,Chhindwara,Chhindwara,882.4997900000001
Finger Millet,,,,10,2017,6,Madhya Pradesh,21631,10429,2037,Narsinghpur,Narsinghpur,771.73
Finger Millet,,,,11,2017,6,Madhya Pradesh,48504,13250,1833,Seoni,Seoni,845.30999
Finger Millet,,,,12,2017,6,Madhya Pradesh,11207,4172,136,Mandla,Mandla,864.13001
Finger Millet,,,,13,2017,6,Madhya Pradesh,20399,17510,506,Sagar,Sagar,832.8900100000001
Finger Millet,,,,14,2017,6,Madhya Pradesh,10634,9534,115,Damoh,Damoh,711.789992
Finger Millet,,,,15,2017,6,Madhya Pradesh,8357,3862,98,Tikamgarh,Tikamgarh,573.660016
Finger Millet,,,,16,2017,6,Madhya Pradesh,14565,11159,140,Chhatarpur,Chhatarpur,641.629988
Finger Millet,,,,17,2017,6,Madhya Pradesh,6615,4493,54,Panna,Panna,778.030002
Finger Millet,,,,18,2017,6,Madhya Pradesh,26124,11848,200,Rewa,Rewa,735.399998
Finger Millet,,,,19,2017,6,Madhya Pradesh,10828,4735,39,Sidhi,Sidhi,748.500007
