,crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname
95,Sugarcane,0.43000001,0.090000004,0.43099999,5,2017,14,Chhattisgarh,31282,13620,3707,Raigarh
149,Sugarcane,3.3699999,1.79,3.49,7,2017,6,Madhya Pradesh,62230,30800,2116,Jabalpur
174,Groundnut,0.029999999,0.029999999,0.34,8,2017,6,Madhya Pradesh,18299,10688,575,Balaghat
201,Sugarcane,51.099998,30.07,58.68,10,2017,6,Madhya Pradesh,21631,10429,2037,Narsinghpur
215,Wheat,92.0,320.70999,95.129997,10,2017,6,Madhya Pradesh,21631,10429,2037,Narsinghpur
297,Wheat,81.599998,285.60001,98.790001,14,2017,6,Madhya Pradesh,10634,9534,115,Damoh
324,Wheat,97.190002,243.07001,97.349998,15,2017,6,Madhya Pradesh,8357,3862,98,Tikamgarh
420,Wheat,156.8,538.45001,164.14,20,2017,6,Madhya Pradesh,29067,15084,353,Satna
450,Chickpea,45.5,47.200001,143.77,21,2017,6,Madhya Pradesh,10825,6431,163,Shahdol
461,Wheat,87.269997,222.87,163.21001,21,2017,6,Madhya Pradesh,10825,6431,163,Shahdol
467,Rice,9.1099997,26.290001,30.190001,22,2017,6,Madhya Pradesh,27042,12605,467,Gwalior
471,Wheat,65.0,247.25999,91.419998,22,2017,6,Madhya Pradesh,27042,12605,467,Gwalior
485,Rice,4.4000001,10.8,10.12,23,2017,6,Madhya Pradesh,19578,13081,371,Shivpuri
493,Wheat,76.900002,217.09,180.64,23,2017,6,Madhya Pradesh,19578,13081,371,Shivpuri
502,Chickpea,32.0,43.200001,76.339996,23,2017,6,Madhya Pradesh,19578,13081,371,Shivpuri
535,Barley,0.2,0.47999999,3.76,25,2017,6,Madhya Pradesh,21273,7790,249,Datia
548,Wheat,120.8,399.0,148.50999,25,2017,6,Madhya Pradesh,21273,7790,249,Datia
551,Wheat,183.0,752.78998,196.57001,26,2017,6,Madhya Pradesh,49982,18447,680,Morena
558,Sugarcane,0.07,0.0099999998,0.18000001,26,2017,6,Madhya Pradesh,49982,18447,680,Morena
568,Rice,21.4,60.099998,28.209999,26,2017,6,Madhya Pradesh,49982,18447,680,Morena
572,Rice,3.0,5.7600002,6.5300002,27,2017,6,Madhya Pradesh,28195,14286,258,Bhind
